Number,Date,Price,Amount,15DayAverage,31DayAverage,Trend,predictionValues
249,23/5/2016,8.808,1062,8.830733333333335,8.957741935483872,9.350462873939811,0
250,24/5/2016,8.648,1045,8.792666666666666,8.903387096774194,9.280216586545832,0
251,25/5/2016,8.695,1159,8.773866666666667,8.851709677419354,9.22169492789125,0
252,26/5/2016,8.604,1061,8.740000000000002,8.792709677419355,9.159925435102124,0
253,27/5/2016,8.784,1275,8.710200000000002,8.73390322580645,9.122332891591913,0
254,28/5/2016,8.944,1191,8.662,8.685032258064517,9.104499602432721,0
255,29/5/2016,8.669,1167,8.597199999999999,8.640967741935484,9.060949642189449,0
256,30/5/2016,8.765,1098,8.549266666666664,8.591451612903224,9.031354677970505,0
257,31/5/2016,8.768,1117,8.510266666666665,8.553290322580644,9.005019210173455,0
258,01/6/2016,8.605,1376,8.4864,8.532870967741935,8.96501728915611,0
259,02/6/2016,8.358,1323,8.461266666666667,8.529096774193548,8.9043155602405,0
260,03/6/2016,8.216,1507,8.435266666666667,8.519129032258062,8.83548400421645,0
261,04/6/2016,8.116,1814,8.401666666666666,8.511387096774193,8.763535603794805,0
262,05/6/2016,8.07,1341,8.358933333333333,8.490129032258062,8.694182043415324,0
263,06/6/2016,8.189,1230,8.333133333333333,8.461806451612901,8.643663839073792,0
264,07/6/2016,8.223,1036,8.2996,8.423,8.601597455166413,0
265,08/6/2016,8.29,1124,8.261533333333334,8.371935483870967,8.570437709649772,0
266,09/6/2016,8.318,1044,8.268266666666667,8.307096774193548,8.545193938684795,0
267,10/6/2016,8.214,1237,8.295733333333333,8.239451612903226,8.512074544816317,0
268,11/6/2016,8.28,1267,8.318466666666668,8.17183870967742,8.488867090334685,0
269,12/6/2016,8.303,1083,8.338933333333333,8.099483870967743,8.470280381301215,0
270,13/6/2016,8.282,1118,8.346266666666667,8.025322580645163,8.451452343171095,0
271,14/6/2016,8.262,990,8.344600000000002,7.958193548387098,8.432507108853986,0
272,15/6/2016,8.197,1010,8.310066666666666,7.882064516129032,8.408956397968588,0
273,16/6/2016,8.706,1801,8.239066666666666,7.804322580645161,8.438660758171729,0
274,17/6/2016,8.77,1619,8.127066666666666,7.734354838709678,8.471794682354556,0
275,18/6/2016,8.557,1517,8.019333333333332,7.66258064516129,8.4803152141191,0
276,19/6/2016,8.423,1328,7.901199999999999,7.612451612903226,8.47458369270719,0
277,20/6/2016,8.18,1386,7.783733333333333,7.595354838709678,8.445125323436471,0
278,21/6/2016,8.164,1194,7.6746,7.587612903225808,8.417012791092825,0
279,22/6/2016,7.705,1444,7.563,7.583451612903228,8.345811511983543,0
280,23/6/2016,7.225,1644,7.443533333333333,7.58051612903226,8.233730360785188,0
281,24/6/2016,6.638,2024,7.287000000000001,7.581193548387099,8.074157324706668,0
282,25/6/2016,6.598,1649,7.131400000000001,7.557967741935487,7.926541592236001,0
283,26/6/2016,6.508,1481,6.9698,7.54193548387097,7.784687433012401,0
284,27/6/2016,6.541,1621,6.8524,7.536290322580647,7.660318689711161,0
285,28/6/2016,6.645,1464,6.812799999999999,7.541903225806453,7.558786820740045,0
286,29/6/2016,6.588,1376,6.790533333333332,7.527709677419356,7.461708138666041,0
287,30/6/2016,6.405,1526,6.8142000000000005,7.5181935483870985,7.356037324799438,0
288,01/7/2016,6.358,1562,6.874666666666668,7.512903225806451,7.256233592319494,0
289,02/7/2016,6.436,1399,6.9862,7.491322580645162,7.174210233087544,0
290,03/7/2016,6.133,1547,7.052866666666666,7.4681612903225805,7.07008920977879,0
291,04/7/2016,6.662,1628,7.133466666666666,7.452290322580645,7.029280288800911,0
292,05/7/2016,7.586,1394,7.237733333333333,7.4351935483870975,7.08495225992082,0
293,06/7/2016,7.83,1511,7.359866666666666,7.424193548387097,7.159457033928739,0
294,07/7/2016,8.06,1316,7.443466666666668,7.409096774193549,7.249511330535865,0
295,08/7/2016,8.132,1507,7.5476,7.40816129032258,7.337760197482279,0
296,09/7/2016,8.311,1416,7.659266666666666,7.420806451612903,7.435084177734051,0
297,10/7/2016,7.598,1392,7.766000000000001,7.452032258064516,7.451375759960647,0
298,11/7/2016,7.717,1280,7.893933333333334,7.487903225806452,7.477938183964582,0
299,12/7/2016,8.105,1241,7.987466666666665,7.527032258064515,7.540644365568125,0
300,13/7/2016,8.477,1062,8.007933333333334,7.567387096774194,7.634279929011312,0
301,14/7/2016,7.842,1243,8.008533333333334,7.602193548387097,7.655051936110181,0
302,15/7/2016,7.967,1130,7.984266666666667,7.637838709677421,7.686246742499163,0
303,16/7/2016,8.033,1144,7.953866666666666,7.678258064516131,7.720922068249247,0
304,17/7/2016,8.037,1079,7.9076,7.721419354838711,7.752529861424322,0
305,18/7/2016,8.052,1119,7.908133333333333,7.760129032258066,7.7824768752818905,0
306,19/7/2016,8.065,1030,7.907666666666667,7.806645161290324,7.810729187753702,0
307,20/7/2016,7.893,1073,7.882066666666666,7.833387096774194,7.818956268978331,0
308,21/7/2016,7.839,1038,7.836399999999999,7.83293548387097,7.8209606420804985,0
309,22/7/2016,7.696,1065,7.8285333333333345,7.8221612903225815,7.808464577872449,0
310,23/7/2016,7.676,1067,7.810266666666668,7.802935483870969,7.795218120085204,0
311,24/7/2016,7.617,1052,7.785266666666668,7.782774193548389,7.777396308076685,0
312,25/7/2016,7.606,1191,7.762533333333333,7.756129032258065,7.760256677269016,0
313,26/7/2016,7.71,1093,7.734799999999998,7.7482903225806465,7.755231009542115,0
314,27/7/2016,7.721,1073,7.702133333333333,7.728096774193549,7.751807908587904,0
315,28/7/2016,7.792,1111,7.675333333333333,7.698322580645162,7.755827117729114,0
316,29/7/2016,7.724,1077,7.657533333333334,7.655064516129032,7.752644405956203,0
317,30/7/2016,7.693,1142,7.6442,7.632806451612903,7.746679965360583,0
318,31/7/2016,7.658,1087,7.630066666666666,7.60806451612903,7.737811968824525,0
319,01/8/2016,7.696,1107,7.622733333333333,7.584870967741933,7.733630771942073,0
320,02/8/2016,7.636,1062,7.6146666666666665,7.5583548387096755,7.723867694747866,0
321,03/8/2016,7.575,1105,7.591,7.533322580645159,7.70898092527308,0
322,04/8/2016,7.491,982,7.549,7.503451612903225,7.687182832745773,0
323,05/8/2016,7.572,1054,7.508333333333334,7.475258064516129,7.675664549471196,0
324,06/8/2016,7.496,970,7.469133333333333,7.449290322580645,7.6576980945240765,0
325,07/8/2016,7.464,944,7.433066666666667,7.431903225806453,7.638328285071669,0
326,08/8/2016,7.507,982,7.402533333333333,7.4199032258064515,7.625195456564502,0
327,09/8/2016,7.485,997,7.377066666666668,7.4095806451612924,7.611175910908052,0
328,10/8/2016,7.355,979,7.349000000000001,7.396096774193548,7.585558319817247,0
329,11/8/2016,7.091,943,7.329066666666666,7.381096774193548,7.536102487835523,0
330,12/8/2016,7.182,1021,7.3056,7.373741935483871,7.500692239051971,0
331,13/8/2016,7.136,926,7.268733333333333,7.363774193548386,7.464223015146773,0
332,14/8/2016,7.152,987,7.237933333333334,7.358580645161289,7.433000713632096,0
333,15/8/2016,7.2,914,7.2174666666666685,7.359580645161289,7.409700642268887,0
334,16/8/2016,7.314,1013,7.2039333333333335,7.365096774193547,7.400130578041998,0
